player_name,runs,balls,wickets,boundaries,strike_rate,id_cricinfo
TC Bruce,295,233,0,31,126.61,707113
L Ronchi,375,263,0,44,142.59,7502
JDS Neesham,1058,1399,42,123,75.63,355269
TA Boult,177,1507,84,5,11.75,277912
IS Sodhi,341,2687,141,20,12.69,559066
Taskin Ahmed,357,1721,80,23,20.74,538506
HM Amla,1341,991,0,172,135.32,43906
Q de Kock,2720,1932,0,367,140.79,379143
F du Plessis,1585,1176,0,190,134.78,44828
TG Southee,528,3128,177,38,16.88,232364
AB de Villiers,1754,1277,0,200,137.35,44936
JP Duminy,2063,2052,22,209,100.54,44932
F Behardien,540,446,3,53,121.08,44410
CH Morris,188,639,36,17,29.42,439952
WD Parnell,260,1332,63,17,19.52,265564
GD Phillips,1976,1490,8,226,132.62,823509
D Paterson,18,188,10,1,9.57,327947
AL Phehlukwayo,253,952,54,21,26.58,540316
Imran Tahir,76,896,64,2,8.48,40618
JT Smuts,198,310,1,24,63.87,280490
DJ Willey,339,1089,53,28,31.13,308251
RR Hendricks,2229,1710,0,291,130.35,269280
MA Wood,70,745,55,1,9.4,351588
DA Miller,2592,1823,0,281,142.18,321777
CJ Jordan,615,2409,126,52,25.53,288992
LA Dawson,61,241,7,10,25.31,211855
MS Crane,0,48,1,0,0.0,660889
JJ Roy,1611,1145,0,223,140.7,298438
AD Hales,2184,1532,0,295,142.56,249866
JM Bairstow,1763,1248,0,225,141.27,297433
T Shamsi,96,1595,93,0,6.02,379145
D Pretorius,303,693,35,37,43.72,327830
TK Curran,94,662,32,5,14.2,550235
M Mosehle,107,65,0,15,164.62,327832
LE Plunkett,81,529,29,4,15.31,19264
M Morkel,123,1025,54,4,12.0,46538
SW Billings,507,377,0,57,134.48,297628
LS Livingstone,934,1128,34,100,82.8,403902
JC Buttler,3488,2344,0,452,148.81,308967
EJG Morgan,2599,1863,0,307,139.51,24598
DJ Malan,2014,1507,1,256,133.64,236489
CH Gayle,2131,1873,20,287,113.77,51880
